,name,company,year,Price,kms_driven,fuel_type
78,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol
79,Honda City 1.5,Honda,2005,90000,50000,Petrol
80,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
81,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel
82,BMW 3 Series,BMW,2011,600000,60500,Petrol
83,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
84,Toyota Etios GD,Toyota,2013,350000,60000,Diesel
85,Ford Figo Diesel,Ford,2012,210000,35000,Diesel
86,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
87,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel
88,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel
89,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol
90,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel
91,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
92,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
93,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel
94,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
95,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
96,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
97,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
98,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol
99,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
100,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
101,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
102,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
103,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
104,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
105,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
106,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
107,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
108,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
109,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol
110,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
111,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
112,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
113,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
114,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
115,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
116,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel
117,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
118,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
119,Toyota Corolla,Toyota,2009,275000,26000,Petrol
120,Honda City 1.5,Honda,2010,285000,35000,Petrol
121,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
122,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
123,Tata Indica V2,Tata,2006,90000,20000,Petrol
124,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
125,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
126,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol
127,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
128,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
129,Renault Duster,Renault,2014,449999,50000,Diesel
130,Honda Amaze,Honda,2015,344999,22000,Petrol
131,Nissan Sunny,Nissan,2012,224999,45000,Petrol
132,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
133,Renault Kwid,Renault,2016,244999,11000,Petrol
134,Renault Duster,Renault,2013,399999,41000,Diesel
135,Ford EcoSport,Ford,2017,489999,39000,Petrol
136,Renault Duster,Renault,2014,474999,50000,Diesel
137,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
138,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
139,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
140,Datsun Redi GO,Datsun,2016,245000,7000,Petrol
141,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
142,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
143,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
144,Toyota Etios GD,Toyota,2013,275000,24800,Petrol
145,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
146,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
147,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
148,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
149,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
150,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
151,Tata Indigo CS,Tata,2011,85000,11400,Diesel
152,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol
153,Honda City 1.5,Honda,2014,549000,39000,Petrol
154,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
155,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
156,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
157,Honda Brio,Honda,2012,224999,30000,Petrol
158,Ford Fiesta,Ford,2011,274999,55000,Diesel
159,Honda Amaze,Honda,2013,284999,46000,Diesel
160,Honda City,Honda,2015,599999,30000,Diesel
161,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
162,Honda City,Honda,2014,544999,45000,Diesel
163,Hyundai i20,Hyundai,2009,199000,31000,Petrol
164,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
165,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
166,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
167,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
168,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
169,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
170,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
171,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
172,Honda City,Honda,2015,448999,54000,Petrol
173,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
174,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel
175,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel
176,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
177,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
178,Tata Nano Cx,Tata,2013,40000,2200,Petrol
179,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
180,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
181,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
182,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
183,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
184,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
185,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel
186,Renault Scala RxL,Renault,2015,375000,25000,Diesel
187,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
188,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
189,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
190,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
191,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
192,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
193,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
194,Force Motors Force,Force,2015,580000,3200,Diesel
195,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
196,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
197,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
198,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
199,Toyota Etios,Toyota,2011,275000,36000,Diesel
200,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
201,Honda City ZX,Honda,2008,110000,45000,Petrol
202,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
203,Honda City VX,Honda,2016,519000,52000,Diesel
204,Audi A4 1.8,Audi,2009,699000,47000,Petrol
205,Renault Kwid RXT,Renault,2017,340000,5000,Petrol
206,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
207,Datsun GO T,Datsun,2016,245000,7000,Petrol
208,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
209,Tata Indigo eCS,Tata,2016,320000,175400,Diesel
210,Honda Jazz VX,Honda,2016,450000,41000,Petrol
211,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol
212,Honda Amaze,Honda,2013,284999,46000,Diesel
213,Honda City,Honda,2012,399999,45000,Petrol
214,Honda City,Honda,2015,599999,39000,Diesel
215,Honda Amaze,Honda,2015,344999,22000,Petrol
216,Audi A4 1.8,Audi,2009,699000,47000,Petrol
217,Force Motors Force,Force,2015,580000,3200,Diesel
218,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
219,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
220,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
221,Honda Amaze,Honda,2013,284999,46000,Diesel
222,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
223,Tata Sumo Gold,Tata,2013,300000,50000,Diesel
224,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
225,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
226,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
227,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
228,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
229,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
230,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
231,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
232,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
233,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
234,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
235,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
236,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
237,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
238,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel
239,Renault Duster 85,Renault,2013,489999,27000,Diesel
240,Renault Duster 85,Renault,2014,489999,59000,Diesel
241,Renault Duster 85,Renault,2015,549999,19000,Diesel
242,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
243,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
244,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
245,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol
246,Renault Lodgy 85,Renault,2018,689999,20000,Diesel
247,Renault Scala RxL,Renault,2014,349999,49000,Diesel
248,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
249,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
250,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
251,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
252,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
253,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
254,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
255,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
256,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
257,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol
258,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
259,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel
260,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
261,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel
262,Tata Indica V2,Tata,2008,150000,11000,Petrol
263,Tata Indigo CS,Tata,2009,72500,46000,Diesel
264,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
265,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel
266,Honda Accord,Honda,2009,175000,58559,Petrol
267,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
268,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel
269,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
270,Honda Amaze,Honda,2014,299999,37000,Petrol
271,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
272,Honda City,Honda,2011,284999,55000,Petrol
273,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
274,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
275,Honda City,Honda,2015,644999,39000,Petrol
276,Honda Mobilio,Honda,2014,399999,44000,Petrol
277,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
278,Honda City,Honda,2014,584999,39000,Petrol
279,Skoda Laura,Skoda,2012,349999,44000,Diesel
280,Renault Duster,Renault,2015,449999,49000,Diesel
281,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
282,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
283,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
284,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
285,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
286,Honda Amaze,Honda,2014,274999,35000,Petrol
287,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
288,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
289,Skoda Laura,Skoda,2013,374999,50000,Diesel
290,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
291,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
292,Tata Manza Aura,Tata,2012,130000,72000,Diesel
293,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol
294,Renault Duster 110,Renault,2012,501000,38000,Diesel
295,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
296,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
297,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
298,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
299,Renault Scala RxL,Renault,2015,375000,25000,Diesel
300,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
301,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
302,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
303,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
304,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
305,Hyundai i20,Hyundai,2014,449999,23000,Petrol
306,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
307,Hyundai i10,Hyundai,2012,244999,38000,Petrol
308,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
309,Datsun Redi GO,Datsun,2017,244999,22000,Petrol
310,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
311,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
312,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
313,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
314,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
315,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
316,Honda City 1.5,Honda,2010,240000,400000,Petrol
317,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
318,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
319,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
320,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
321,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
322,Force Motors Force,Force,2015,580000,3200,Diesel
323,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
324,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
325,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
326,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
327,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
328,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
329,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
330,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
331,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
332,Honda City ZX,Honda,2008,149000,42000,Petrol
333,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
334,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
335,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
336,Honda City 1.5,Honda,2010,225000,70000,Petrol
337,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
338,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
339,Toyota Etios,Toyota,2011,275000,36000,Diesel
340,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
341,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
342,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
343,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
344,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
345,Tata Indigo LX,Tata,2016,130000,104000,Diesel
346,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
347,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol
348,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
349,Honda City,Honda,2000,65000,80000,Petrol
350,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
351,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
352,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
353,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
354,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
355,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
356,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
357,Honda Jazz S,Honda,2009,169999,24695,Petrol
358,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
359,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
360,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
361,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
362,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
363,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
364,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
365,Renault Duster 85,Renault,2015,715000,65000,Diesel
366,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
367,Honda Brio V,Honda,2012,235000,33000,Petrol
368,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
369,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
370,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
371,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
372,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
373,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
374,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
375,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
376,Tata Indigo LS,Tata,2016,125000,70000,Diesel
377,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
378,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
379,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
380,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
381,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
382,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
383,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
384,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
385,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
386,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
387,Tata Nano GenX,Tata,2010,32000,44005,Petrol
388,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
389,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
390,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
391,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
392,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
393,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
394,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
395,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
396,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
397,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
398,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
399,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
400,Tata Indigo CS,Tata,2015,123000,100000,Diesel
401,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
402,Honda City,Honda,2015,499999,55000,Petrol
403,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
404,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
405,Tata Zest XE,Tata,2018,480000,103553,Diesel
406,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
407,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
408,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
409,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
410,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
411,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
412,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
413,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
414,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
415,Honda Mobilio S,Honda,2014,399000,44000,Diesel
416,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
417,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
418,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
419,Honda Amaze,Honda,2013,250000,55700,Diesel
420,Tata Indica,Tata,2005,80000,42000,Petrol
421,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
422,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
423,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
424,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
425,Honda Brio VX,Honda,2017,450000,11000,Petrol
426,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
