,name,company,year,Price,kms_driven,fuel_type
78,Honda Brio,Honda,2012,224999,30000,Petrol
79,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel
80,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
81,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel
82,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
83,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol
84,Honda City 1.5,Honda,2005,90000,50000,Petrol
85,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
86,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel
87,BMW 3 Series,BMW,2011,600000,60500,Petrol
88,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
89,Toyota Etios GD,Toyota,2013,350000,60000,Diesel
90,Ford Figo Diesel,Ford,2012,210000,35000,Diesel
91,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
92,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel
93,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel
94,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol
95,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel
96,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
97,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
98,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel
99,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
100,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
101,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
102,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
103,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol
104,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
105,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
106,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
107,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
108,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
109,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
110,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
111,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
112,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
113,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
114,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol
115,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
116,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
117,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
118,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
119,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
120,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
121,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel
122,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
123,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
124,Toyota Corolla,Toyota,2009,275000,26000,Petrol
125,Honda City 1.5,Honda,2010,285000,35000,Petrol
126,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel
127,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
128,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
129,Tata Indica V2,Tata,2006,90000,20000,Petrol
130,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
131,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
132,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol
133,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel
134,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel
135,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
136,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
137,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
138,Renault Duster,Renault,2014,449999,50000,Diesel
139,Honda Amaze,Honda,2015,344999,22000,Petrol
140,Nissan Sunny,Nissan,2012,224999,45000,Petrol
141,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
142,Renault Kwid,Renault,2016,244999,11000,Petrol
143,Renault Duster,Renault,2013,399999,41000,Diesel
144,Ford EcoSport,Ford,2017,489999,39000,Petrol
145,Renault Duster,Renault,2014,474999,50000,Diesel
146,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
147,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
148,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
149,Datsun Redi GO,Datsun,2016,245000,7000,Petrol
150,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
151,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
152,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
153,Toyota Etios GD,Toyota,2013,275000,24800,Petrol
154,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
155,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
156,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
157,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
158,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
159,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
160,Tata Indigo CS,Tata,2011,85000,11400,Diesel
161,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol
162,Honda City 1.5,Honda,2014,549000,39000,Petrol
163,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
164,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
165,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
166,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
167,Honda Brio,Honda,2012,224999,30000,Petrol
168,Ford Fiesta,Ford,2011,274999,55000,Diesel
169,Honda Amaze,Honda,2013,284999,46000,Diesel
170,Honda City,Honda,2015,599999,30000,Diesel
171,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
172,Honda City,Honda,2014,544999,45000,Diesel
173,Hyundai i20,Hyundai,2009,199000,31000,Petrol
174,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
175,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
176,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
177,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
178,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
179,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
180,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
181,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
182,Honda City,Honda,2015,448999,54000,Petrol
183,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol
184,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
185,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel
186,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel
187,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
188,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
189,Tata Nano Cx,Tata,2013,40000,2200,Petrol
190,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
191,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
192,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
193,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
194,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
195,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
196,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel
197,Renault Scala RxL,Renault,2015,375000,25000,Diesel
198,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
199,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
200,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
201,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
202,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
203,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
204,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
205,Force Motors Force,Force,2015,580000,3200,Diesel
206,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
207,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
208,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
209,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
210,Toyota Etios,Toyota,2011,275000,36000,Diesel
211,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
212,Honda City ZX,Honda,2008,110000,45000,Petrol
213,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
214,Honda City VX,Honda,2016,519000,52000,Diesel
215,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel
216,Audi A4 1.8,Audi,2009,699000,47000,Petrol
217,Renault Kwid RXT,Renault,2017,340000,5000,Petrol
218,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
219,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol
220,Datsun GO T,Datsun,2016,245000,7000,Petrol
221,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
222,Tata Indigo eCS,Tata,2016,320000,175400,Diesel
223,Honda Jazz VX,Honda,2016,450000,41000,Petrol
224,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol
225,Honda Amaze,Honda,2013,284999,46000,Diesel
226,Honda City,Honda,2012,399999,45000,Petrol
227,Honda City,Honda,2015,599999,39000,Diesel
228,Honda Amaze,Honda,2015,344999,22000,Petrol
229,Audi A4 1.8,Audi,2009,699000,47000,Petrol
230,Force Motors Force,Force,2015,580000,3200,Diesel
231,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
232,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
233,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
234,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
235,Honda Amaze,Honda,2013,284999,46000,Diesel
236,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
237,Tata Sumo Gold,Tata,2013,300000,50000,Diesel
238,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
239,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
240,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
241,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
242,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
243,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
244,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
245,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
246,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
247,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
248,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
249,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
250,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
251,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
252,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel
253,Renault Duster 85,Renault,2013,489999,27000,Diesel
254,Renault Duster 85,Renault,2014,489999,59000,Diesel
255,Renault Duster 85,Renault,2015,549999,19000,Diesel
256,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
257,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
258,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
259,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol
260,Renault Lodgy 85,Renault,2018,689999,20000,Diesel
261,Renault Scala RxL,Renault,2014,349999,49000,Diesel
262,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
263,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
264,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
265,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
266,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
267,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
268,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
269,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
270,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
271,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol
272,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
273,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel
274,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
275,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel
276,Tata Indica V2,Tata,2008,150000,11000,Petrol
277,Tata Indigo CS,Tata,2009,72500,46000,Diesel
278,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
279,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel
280,Honda Accord,Honda,2009,175000,58559,Petrol
281,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
282,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
283,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel
284,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
285,Honda Amaze,Honda,2014,299999,37000,Petrol
286,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
287,Honda City,Honda,2011,284999,55000,Petrol
288,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
289,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
290,Honda City,Honda,2015,644999,39000,Petrol
291,Honda Mobilio,Honda,2014,399999,44000,Petrol
292,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
293,Honda City,Honda,2014,584999,39000,Petrol
294,Skoda Laura,Skoda,2012,349999,44000,Diesel
295,Renault Duster,Renault,2015,449999,49000,Diesel
296,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
297,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
298,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
299,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
300,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
301,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
302,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
303,Honda Amaze,Honda,2014,274999,35000,Petrol
304,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
305,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
306,Skoda Laura,Skoda,2013,374999,50000,Diesel
307,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
308,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
309,Tata Manza Aura,Tata,2012,130000,72000,Diesel
310,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol
311,Renault Duster 110,Renault,2012,501000,38000,Diesel
312,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
313,Audi A4 2.0,Audi,2012,1350000,40000,Diesel
314,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
315,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
316,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
317,Renault Scala RxL,Renault,2015,375000,25000,Diesel
318,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
319,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
320,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
321,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
322,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
323,Hyundai i20,Hyundai,2014,449999,23000,Petrol
324,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
325,Hyundai i10,Hyundai,2012,244999,38000,Petrol
326,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
327,Datsun Redi GO,Datsun,2017,244999,22000,Petrol
328,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
329,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
330,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
331,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
332,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
333,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
334,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
335,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
336,Honda City 1.5,Honda,2010,240000,400000,Petrol
337,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
338,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
339,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
340,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
341,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
342,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
343,Force Motors Force,Force,2015,580000,3200,Diesel
344,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
345,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
346,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
347,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
348,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
349,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
350,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
351,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
352,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
353,Honda City ZX,Honda,2008,149000,42000,Petrol
354,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
355,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
356,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
357,Honda City 1.5,Honda,2010,225000,70000,Petrol
358,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
359,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
360,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
361,Toyota Etios,Toyota,2011,275000,36000,Diesel
362,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
363,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
364,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
365,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
366,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
367,Tata Indigo LX,Tata,2016,130000,104000,Diesel
368,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
369,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol
370,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
371,Honda City,Honda,2000,65000,80000,Petrol
372,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
373,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
374,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
375,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
376,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
377,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
378,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
379,Honda Jazz S,Honda,2009,169999,24695,Petrol
380,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
381,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
382,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
383,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
384,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
385,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
386,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol
387,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
388,Renault Duster 85,Renault,2015,715000,65000,Diesel
389,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
390,Honda Brio V,Honda,2012,235000,33000,Petrol
391,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
392,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
393,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
394,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
395,Nissan X Trail,Nissan,2019,1200000,300,Diesel
396,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
397,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
398,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel
399,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
400,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
401,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
402,Tata Indigo LS,Tata,2016,125000,70000,Diesel
403,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
404,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
405,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
406,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
407,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
408,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
409,BMW 5 Series,BMW,2011,1299000,49000,Diesel
410,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
411,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
412,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
413,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
414,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
415,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
416,Tata Nano GenX,Tata,2010,32000,44005,Petrol
417,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
418,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
419,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
420,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
421,Honda City SV,Honda,2017,760000,4000,Petrol
422,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
423,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
424,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
425,Honda City,Honda,2017,750000,3000,Petrol
